USM12345,Samantha,Johnson,Female,samantha.johnson@usm.my,Passw0rd!
USM23456,Michael,Williams,Male,michael.williams@usm.my,Secure123!
USM34567,Emily,Brown,Female,emily.brown@usm.my,Teacher789!
USM45678,Daniel,Martinez,Male,daniel.martinez@usm.my,Welcome456?
USM56789,Jessica,Lee,Female,jessica.lee@usm.my,Instructor123!
USM67890,Christopher,Taylor,Male,christopher.taylor@usm.my,Password1234!
USM78901,Amanda,Garcia,Female,amanda.garcia@usm.my,Letmein5678!
USM89012,David,Rodriguez,Male,david.rodriguez@usm.my,Secret7890!
USM90123,Sarah,Clark,Female,sarah.clark@usm.my,Sarah123!
USM01234,Matthew,Scott,Male,matthew.scott@usm.my,Matthew456!
